kalimat,status
eh ihh uhh ehh uhh ohh eeh uhhh oooh uuh ahhh ahhh eeh uh iih ah ohhh oooh aah aah ahhh ooh iiih oh,0
iiih aah uhh ohhh eh aaah ehh ehh uuuh ihh ihhh ehh ihh uuuh uhhh ohh aah ihh ohh eeeh eh uhh ooh ehhh aah ohh uh ahhh,2
ooh uhhh aah ah ah iiih ohh oooh,1
ohh ahh ahhh aah oooh ihhh oooh ohhh oooh ohhh uuuh uuuh ehhh eeeh uh uhhh aah aaah ah ohh uuuh ihhh ohh uhhh ohhh oh,0
aah ih ehhh eeh ahh,2
ahhh iih ahh eeeh uuh aah,2
ih ehh uuuh ohhh ahh eeh ohhh oh aaah,0
iih iih ih oooh oooh ohhh ah iih,0
uuh aah iiih uh uhhh eh uhhh,2
uh oooh eeeh uuh ih uhh iiih ihh uhh eh eeeh ah ahhh oh uh ahhh aaah ooh eeeh iih oooh ahh,1
ahhh iiih ah ehh uhhh aaah ehh iiih ahhh ihh iih ah uhh ah ohh iiih eeh ihhh ehh uh ih ahh iih,0
ahhh ehh uhhh uuuh ohhh ihh ihh oh uh ah ooh ahhh eh ihh ehhh eh eeeh uh uuh oh ihh ihh iiih ooh,0
uuuh ehhh ahhh ehhh ah oooh eh ohhh ehhh iih aah ahh uuh uuh ihh oooh,1
oooh ohhh ihhh oh ah ohh uuh ih uuh uh ihh ehh uuuh eeh eeh uh ohh iiih aah eeh ahhh aah ihh ooh uhh ohhh,0
oh uh ah aah aah uhhh eh ahh eeh eeh uhhh oh uuh ihh ah ooh oh,0
eeeh ehh iiih oh uuuh iiih ihh ehhh iih ihh eh ahh ahhh ihh aah eeeh iiih ahh ihhh uuh ahh uuuh uuh eeh ohh eh ihhh eeh,2
eeeh oh uuuh ooh ohh ehhh oooh eeh uhhh uuh iih oh ih iiih ohhh uhh ooh ahh uuuh ahh,2
uuh ihh uh eeeh ohh uuuh ah ih aaah eeh iih uhh eeh eh ooh,1
oh uuuh ihhh ehh uhhh eeeh ohh uuuh ihhh eh aah iih eh eeh ehh uhhh ah oooh ohhh ih uuuh eeh ohh eh ehh aah,0
uhhh ahh uuh ahh eh uhhh aah uhhh ohh,2
ih uuuh ohh oooh ehhh ihhh ahhh ah aah ohh ehh ohh aaah eeh uuuh aaah uuh,1
ihhh eeh uhhh uh uh ihh iih ohh oooh ohh iih aaah ohhh ah eeh eeh aaah ehh,0
ahhh uh ah iiih ohh ohh iiih oooh iiih eh ehh iih iiih,2
oooh uuuh ooh ehh ehh ihh ahhh ehhh iiih uuuh oooh iiih uhhh eeh uhh ih,0
uhh uhhh eh uuuh ihh uuuh aah uhh ohh iih ahh iih ehh ahh ooh ihhh ehhh ih ehhh ehhh aah iiih,2
uhhh eeh ihh oh ohhh eeeh eh eeh ehh ahhh aah,0
uuh ehhh iih ohhh eeeh iiih ahh ehh ahhh ehh ooh uuuh aaah ihh ih ih ehhh aah aaah ooh ehh uhh,2
